Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
,Read Only Memories,N/A,Adventure,0,0,0,0,0
,Shakedown Hawaii,N/A,Action,0,0,0,0,0
,Fallen Legion,N/A,Role-Playing,0,0,0,0,0
,Amplitude (2016),N/A,Misc,0,0,0,0,0
Sony Computer Entertainment,Bloodborne: Complete Edition,2015,Role-Playing,0,0,0,0,0
,Hardware: Rivals,N/A,Action,0,0,0,0,0
,Jikkyou Powerful Pro Baseball Success Special,N/A,Sports,0,0,0,0,0
,Qurare: Magic Library,N/A,Action,0,0,0,0,0
Soedesco,World to the West,2017,Action-Adventure,0,0,0,0,0
,The Binding of Isaac: Rebirth,N/A,Action,0,0,0,0,0
,De-formers,N/A,Action,0,0,0,0,0
,Rock of Ages II: Bigger and Boulder,N/A,Action,0,0,0,0,0
,Fe,N/A,Action,0,0,0,0,0
Sony Interactive Entertainment,Days Gone,2019,Action-Adventure,0,0,0,0,0
Tecmo Koei,Berserk Musou,2016,Action,0,0,0,0,0
PQube,Ginger: Beyond the Crystal,2016,Platform,0,0,0,0,0
Sony Interactive Entertainment,The Last of Us: Part II,2019,Action,0,0,0,0,0
Tru Blu Entertainment,Don Bradman Cricket 17,2016,Sports,0,0,0,0,0
Bandai Namco Games,Ace Combat 7: Skies Unknown,2019,Shooter,0,0,0,0,0
,Sakuna: Of Rice and Ruin,N/A,Action,0,0,0,0,0
Deep Silver,Metro Exodus,2019,Shooter,0,0,0,0,0
Electronic Arts,Anthem,2019,Role-Playing,0,0,0,0,0
Unknown,Moons Of Madness,2017,Role-Playing,0,0,0,0,0
Unknown,Iron Harvest,2018,Strategy,0,0,0,0,0
THQ Nordic,Biomutant,2018,Action,0,0,0,0,0
THQ Nordic,Biomutant,2019,Action,0,0,0,0,0
THQ Nordic,de Blob,2017,Platform,0,0,0,0,0
Daedalic Entertainment,Chaos on Deponia,2017,Adventure,0,0,0,0,0
Bandai Namco Entertainment,Code Vein,2018,Action,0,0,0,0,0
,Fallen Legion: Flames of Rebellion,N/A,Role-Playing,0,0,0,0,0
Tammeka Games,Radial G Racing Revolved,2017,Racing,0,0,0,0,0
,The Mummy Demastered,N/A,Action,0,0,0,0,0
,Project Nimbus: Code Mirai,N/A,Action,0,0,0,0,0
,Battle Chef Brigade,N/A,Action,0,0,0,0,0
