Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Electronic Arts,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,0.22,0.31,0,0.1,0.63
Warner Bros. Interactive Entertainment,LEGO The Hobbit,2014,Action-Adventure,0.14,0.39,0,0.1,0.62
Square Enix,World of Final Fantasy,2016,Role-Playing,0.24,0.21,0.09,0.09,0.62
Koch Media,F1 2017,2017,Racing,0.04,0.47,0.02,0.09,0.62
EA Sports,NHL 15,2014,Sports,0.32,0.19,0,0.11,0.62
Sony Interactive Entertainment,Knowledge is Power,2017,Party,0.05,0.47,0,0.09,0.61
Rockstar Games,L.A. Noire,2017,Adventure,0.18,0.32,0,0.1,0.6
Sony Interactive Entertainment,Hidden Agenda,2017,Adventure,0.08,0.42,0,0.09,0.59
Activision,Call of Duty: Modern Warfare Remastered,2017,Shooter,0.17,0.3,0.03,0.09,0.58
Square Enix,Dragon Quest Builders: Revive Alefgard,2016,Role-Playing,0.12,0.17,0.24,0.06,0.58
Warner Bros. Interactive Entertainment,The Lego Ninjago Movie Videogame,2017,Action,0.16,0.32,0,0.09,0.57
Capcom,Resident Evil: Revelations 2,2015,Action,0.14,0.25,0.11,0.07,0.57
Harmonix Music Systems,Rock Band 4,2015,Music,0.41,0.06,0,0.1,0.57
EA Sports,NHL 18,2017,Sports,0.31,0.16,0,0.1,0.57
Sony Interactive Entertainment,Everybody's Golf,2017,Sports,0.12,0.22,0.17,0.06,0.56
Activision,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,0.2,0.26,0.02,0.09,0.56
Bethesda Softworks,DOOM VFR,2017,Shooter,0.22,0.25,0,0.09,0.56
Sega,Sonic Forces,2017,Platform,0.15,0.31,0.01,0.09,0.56
Deep Silver,Kingdom Come: Deliverance,2018,Role-Playing,0.18,0.28,0,0.09,0.56
Square Enix,Lords of the Fallen,2014,Role-Playing,0.2,0.24,0.02,0.09,0.55
Rebellion Developments,Sniper Elite 4,2017,Shooter,0.21,0.25,0,0.09,0.55
Electronic Arts,Rory McIlroy PGA Tour,2015,Sports,0.19,0.27,0,0.09,0.55
